,episode_name,userReviewsNum,storyLine,ratings_distribution,US_ratings,US_votenums,nonUS_ratings,nonUS_votenums,All_All_rating,All_All_totalVotesNum,All_<18_rating,All_<18_totalVotesNum,All_18-29_rating,All_18-29_totalVotesNum,All_30-44_rating,All_30-44_totalVotesNum,All_45+_rating,All_45+_totalVotesNum,Male_All_rating,Male_All_totalVotesNum,Male_<18_rating,Male_<18_totalVotesNum,Male_18-29_rating,Male_18-29_totalVotesNum,Male_30-44_rating,Male_30-44_totalVotesNum,Male_45+_rating,Male_45+_totalVotesNum,Female_All_rating,Female_All_totalVotesNum,Female_<18_rating,Female_<18_totalVotesNum,Female_18-29_rating,Female_18-29_totalVotesNum,Female_30-44_rating,Female_30-44_totalVotesNum,Female_45+_rating,Female_45+_totalVotesNum,keyWords
46,Safety Training,5,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace.","[1517, 1560, 1122, 385, 132, 34, 16, 8, 18, 85]",8.7,1043,8.5,1558,8.7,4877,8.6,14,8.7,1087,8.6,1478,8.3,443,8.6,2754,9,10,8.7,919,8.6,1256,8.3,342,8.5,476,9,2,8.6,145,8.4,209,8.6,98,[]
47,Product Recall,5,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend.","[1384, 1471, 1177, 460, 130, 51, 8, 6, 11, 106]",8.7,1035,8.4,1557,8.6,4804,8.6,13,8.6,1068,8.5,1478,8.3,449,8.6,2719,8.8,9,8.6,901,8.6,1248,8.3,350,8.5,485,7.5,2,8.6,148,8.3,217,8.6,95,"['girl', 'reference to battlestar galactica']"
48,Women's Appreciation,4,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan.","[1486, 1604, 1127, 343, 118, 28, 9, 10, 9, 140]",8.8,998,8.6,1566,8.7,4874,9,14,8.8,1104,8.7,1455,8.3,424,8.7,2728,9,10,8.8,936,8.7,1239,8.3,331,8.7,461,9,1,8.8,143,8.6,203,8.7,88,[]
49,Beach Games,5,"Michael is being considered for a position in corporate, but also plans a day of ""Survivor"" like competitions while the office workers visit Lake Scranton. Pam is not asked to join in on any of the competitions and is forced to sit and watch Jim and Karen have fun.","[2587, 1677, 816, 252, 83, 29, 7, 3, 9, 176]",9.1,1135,8.9,1731,9.1,5639,9.3,15,9.2,1236,8.9,1638,8.7,479,9,3052,9.5,10,9.2,1034,8.9,1383,8.6,371,9.1,553,9.5,2,9.2,179,9,239,9.1,105,"['reference to harry potter', 'singing']"
50,The Job,11,"Michael, Jim, and Karen all go to the New York Dunder Mifflin building to have an interview with David Wallace about getting a job at corporate. But when Jan finds out the job they are applying for is her job, she gets furious. Meanwhile down at the Scranton office, since Michael was sure of getting the job, he assigned Dwight as the new manager which Pam decides to take advantage as Dwight does his new duties.","[3229, 1598, 637, 209, 62, 21, 8, 3, 12, 175]",9.3,1218,9.1,1840,9.2,5954,9.4,15,9.4,1287,9.2,1803,8.9,495,9.2,3248,9.5,10,9.4,1088,9.2,1511,8.8,381,9.2,587,9.5,2,9.3,171,9.1,272,9,111,['manager']
51,Fun Run,7,"The run for the cure-special one-hour premiere - A freak accident causes Michael to feel the office is cursed. He explores the religious beliefs of his employees before deciding to hold a charity 5K fun run. Meanwhile, further developments in the romances of Pam and Jim, and Dwight and Angela are explored.","[1935, 1665, 1124, 391, 137, 53, 16, 4, 14, 127]",8.8,1237,8.5,1658,8.7,5466,9,16,8.8,1168,8.6,1697,8.4,480,8.6,3020,9,11,8.8,980,8.6,1414,8.4,378,8.7,561,8.5,2,8.9,159,8.6,268,8.7,98,"['reference to pamela anderson', 'reference to the simpsons']"
52,Dunder Mifflin Infinity,6,"There's a new boss in town - Much to the dismay of Michael and many of the employees, Ryan return to the Scranton branch of Dunder Mifflin to bring the company into the digital age. Angela is still upset about her cat.","[942, 946, 1689, 625, 189, 45, 16, 2, 7, 61]",8.3,968,8,1483,8.2,4522,8.1,13,8.2,1006,8.1,1424,8,405,8.1,2597,8.1,9,8.2,857,8.1,1206,8,318,8.2,435,9,2,8.2,127,8,200,8.5,84,"['reference to red bull', 'pizza', 'sushi', 'reference to vince vaughn']"
53,Launch Party,6,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. Meanwhile, Dwight competes against the website to see who can sell the most paper in one day.","[996, 1071, 1531, 517, 170, 40, 14, 4, 4, 61]",8.4,934,8.2,1460,8.3,4408,8.4,13,8.4,989,8.2,1370,8.1,394,8.3,2538,8.5,9,8.4,848,8.3,1168,8.1,310,8.3,408,9,2,8.4,121,8,186,8.5,82,"['nbc', 'boyfriend girlfriend relationship', 'pizza', 'reference to apple', 'reference to dr. seuss']"
54,Money,6,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast.","[1368, 1490, 1173, 421, 138, 37, 20, 2, 5, 75]",8.7,981,8.4,1545,8.6,4729,8.8,13,8.7,1054,8.5,1452,8.3,414,8.5,2687,8.8,9,8.7,894,8.5,1239,8.3,332,8.5,434,9,2,8.8,136,8.3,197,8.6,80,"['nbc', 'boyfriend girlfriend kiss', 'boyfriend girlfriend relationship', 'reference to tripadvisor', 'reference to harry potter']"
55,Local Ad,7,"THE WONDERFUL WORLD OF ADVERTISING - When the Scranton branch is asked to participate in a Dunder Mifflin ad, Michael seizes his chance to exhibit his creativity. Meanwhile, Dwight explores the online world of Second Life.","[1510, 1572, 1121, 380, 98, 37, 11, 2, 8, 121]",8.7,993,8.6,1561,8.7,4860,8.9,14,8.8,1086,8.6,1472,8.4,426,8.7,2718,9,9,8.8,907,8.6,1251,8.4,338,8.6,471,8.5,2,8.8,154,8.5,205,8.6,86,"['commercial', 'boyfriend girlfriend relationship', 'tv commercial', 'pub']"
56,Branch Wars,3,"When Michael finds out that Karen, now the regional manager at the Dunder Mifflin Utica branch, is taking Stanley, he devises a plan to take Dwight and trick Jim into driving to the Utica branch and dressing up as warehouse workers to steal their industrial machine. Meanwhile back at the office, Pam, Oscar, and Toby created the Finer Things Club which is a book club, which Andy and others want to access to.","[1090, 1218, 1383, 521, 143, 46, 11, 6, 4, 66]",8.4,930,8.2,1475,8.4,4488,8.6,13,8.4,1017,8.2,1356,8.1,398,8.3,2561,8.9,9,8.4,860,8.3,1169,8.1,319,8.2,402,9,2,8.3,134,8,171,8.4,77,"['boyfriend girlfriend relationship', 'reference to utica new york', 'reference to scranton pennslyvania', 'prank', 'book club', '5 more']"
57,Survivor Man,2,"Michael goes on a survival adventure into the woods - with nothing except the suit on his back - in retaliation of not getting an invite to a similar party from corporate. Back at the office, there is a birthday going on while Jim tries to revolutionize the party.","[855, 825, 1618, 670, 218, 59, 19, 8, 5, 51]",8.1,889,8,1435,8.1,4328,7.7,12,8.2,970,8,1339,7.9,375,8.1,2476,8,8,8.2,823,8,1145,7.9,297,8.1,401,7.5,2,8.3,127,7.9,178,8.3,76,"['nbc', 'boyfriend girlfriend relationship', 'reference to battlestar galactica', 'tree', 'camping trip', '8 more']"
58,The Deposition,8,"Michael and Jan go to New York to since Jan sued Dunder Mifflin over her termination thinking it was her breast implants that caused it. Michael is an accomplice and things go awry when different scenarios arise such as the photo Michael took of Jan on their Christmas break showing they had a relationship earlier then announced. Meanwhile back at Scranton, over numerous losses against Darryl in ping-pong over Jim, Kelly has been smack talking Pam and to get rid of this problem Pam wants Jim to practice and do a rematch against Darryl.","[1284, 1523, 1154, 391, 126, 42, 8, 1, 5, 71]",8.7,952,8.5,1491,8.6,4605,8.8,15,8.6,1033,8.5,1391,8.4,408,8.6,2608,8.7,10,8.7,877,8.5,1187,8.4,323,8.5,427,7.5,2,8.6,135,8.3,189,8.5,83,['ping pong']
59,Dinner Party,19,"Michael invites Jim and Pam and Andy and Angela to a couples-only dinner party, which makes Dwight very jealous. However, the only thing he's missing is a ringside seat to witness Michael and Jan's extremely dysfunctional home life.","[6209, 1499, 653, 238, 93, 44, 19, 11, 9, 180]",9.4,1803,9.2,2478,9.4,8955,9.5,17,9.5,1960,9.3,2544,9.1,639,9.4,4632,9.6,11,9.5,1595,9.3,2084,9.1,489,9.4,970,9.7,3,9.6,315,9.2,431,9.3,146,"['reference to the terminator', 'reference to arnold schwarzenegger', 'reference to james bond', 'tivo', 'reference to joe montana', '9 more']"
60,Chair Model,8,"Kevin and Andy team up to reclaim the stolen Dunder Mifflin parking spaces, which forces them into a showdown with the other four bosses of the office park. Meanwhile, Michael becomes fascinated by a woman modeling chairs in a catalog.","[746, 629, 1586, 871, 243, 77, 20, 8, 11, 57]",8,930,7.8,1416,7.9,4248,7.2,11,7.9,949,7.9,1346,7.8,384,7.9,2432,7.5,7,7.9,803,7.9,1134,7.8,303,7.9,419,7,2,8,126,7.8,197,8,79,['reference to the godfather']
61,Night Out,6,"Michael and Dwight go to New York to party with Ryan, who is having lots of personal and professional problems. The rest of the office employees work late, and wind up getting locked in the business park.","[1142, 1412, 1206, 417, 126, 39, 8, 4, 3, 76]",8.6,921,8.4,1472,8.5,4433,8.3,12,8.6,1001,8.5,1370,8.3,389,8.5,2533,8.4,8,8.6,852,8.5,1176,8.2,305,8.4,401,8,2,8.5,126,8.3,176,8.5,82,"['reference to back to the future', 'website', 'nightclub', 'locked door', 'late night', '6 more']"
62,Did I Stutter?,7,"Michael tries to figure out how to respond to Stanley's insubordination during a meeting, and Dwight buys Andy's vehicle and immediately flips it for more money.","[897, 860, 1547, 620, 179, 47, 15, 10, 6, 61]",8.3,895,8,1425,8.2,4242,8,12,8.3,968,8.1,1323,7.9,370,8.2,2439,8.3,8,8.3,820,8.1,1136,7.9,291,8,387,8,2,8.3,126,7.8,169,8.1,77,"['episode title spoken by character', 'reference to the warriors', 'car']"
63,Job Fair,5,"Dunder Mifflin participates in a high school job fair, but few students are interested. Jim, Andy, and Kevin play a round of golf with a prospective client. Back at the office, everyone but Dwight and Angela leave for the day.","[598, 388, 1517, 1056, 314, 88, 36, 13, 11, 54]",7.8,868,7.5,1368,7.7,4075,7.5,11,7.7,919,7.6,1269,7.6,377,7.6,2360,7.9,7,7.7,786,7.6,1089,7.6,298,7.7,370,4,2,7.8,115,7.5,162,8,77,"['job fair', 'golf', 'traitor', 'sneaking out', 'paper', '5 more']"
64,"Goodbye, Toby",14,"The day has come, it is Toby's last day at the office as he leaves to go to Costa Rica. Michael is super excited that Toby is leaving and makes the party extra special. But Toby's replacement Holly Flax, is now the new crush of Michael, which means Michael has to act nice towards Toby, and Michael finds out some interesting news. While Jim uses this night to propose to Pam, someone else proposes. Back at corporate, Ryan gets arrested for Fraud because he was recording sales twice from the website and offices to deceive Dunder Mifflins shareholders.","[3415, 1537, 647, 188, 69, 19, 6, 3, 9, 159]",9.3,1206,9.1,1877,9.3,6052,9.5,16,9.4,1348,9.1,1807,8.9,469,9.2,3315,9.6,11,9.4,1136,9.2,1527,8.8,365,9.1,573,9,2,9.3,180,9,261,9,100,"['reference to star wars', 'going away party', 'supermarket', 'sperm bank', 'rock', '11 more']"
65,Weight Loss,5,"Michael tries to motivate the Scranton branch to lose weight as part of an interoffice competition. Jim is lost after Pam leaves for art school in New York, and Angela continues to see Dwight even though she is now engaged to Andy.","[1656, 1620, 1054, 323, 118, 42, 9, 7, 6, 125]",8.7,1066,8.6,1581,8.7,4960,8.9,13,8.8,1067,8.6,1551,8.3,436,8.7,2781,8.9,8,8.8,897,8.6,1317,8.2,344,8.8,480,9.5,2,9,147,8.6,218,8.7,90,"['reference to star wars', 'reference to star wars return of the jedi', 'reference to ghostbusters']"
66,Business Ethics,2,A confession at an H.R. business ethics seminar leads to a dispute between Michael and Holly over whether Meredith should be fired. Dwight tries to prove to Jim how long he can go without taking a personal break.,"[785, 790, 1626, 613, 143, 45, 12, 7, 6, 53]",8.2,851,8.1,1379,8.1,4080,7.8,12,8.2,913,8.1,1272,8,369,8.1,2365,8,8,8.2,782,8.1,1101,8,291,8.2,363,7.5,2,8.2,115,8,155,8.6,76,"['reference to star trek', 'reference to star wars', 'reference to star wars the empire strikes back', 'reference to star wars a new hope', 'reference to battlestar galactica', '1 more']"
67,Baby Shower,6,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father.","[704, 576, 1574, 820, 242, 71, 19, 11, 10, 54]",8,840,7.8,1380,7.9,4081,7.5,11,8,925,7.8,1260,7.8,376,7.8,2356,7.7,7,8,789,7.8,1081,7.8,297,8,375,8,2,8.1,116,7.8,164,8.1,77,"['reference to the lion king', 'reference to sesame street']"
68,Crime Aid,4,"Michael and Holly have sex for the first time, and Michael holds a fundraiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fianc??, Roy.","[671, 623, 1648, 672, 183, 51, 15, 8, 5, 45]",8,810,7.8,1319,8,3921,7.8,11,8,892,7.9,1195,7.8,360,7.9,2270,8.1,7,8,766,7.9,1031,7.8,285,8,345,7,2,8.1,109,7.8,147,8.2,73,"['reference to the simpsons', 'reference to battlestar galactica']"
69,Employee Transfer,5,Michael and Holly are forced to question the future of their relationship after she is transferred out of Scranton. Dwight gets on Andy's nerves by pretending to be interested in his alma mater. Pam and Jim have an awkward lunch with his brothers.,"[708, 626, 1566, 743, 227, 59, 23, 14, 10, 55]",8,854,7.8,1344,7.9,4031,7.6,11,8,896,7.8,1261,7.8,366,7.9,2337,8,7,8,765,7.9,1092,7.8,289,7.9,360,7,2,8.1,113,7.7,153,8.1,75,"['halloween episode', 'reference to the joker', 'reference to carrie bradshaw', 'reference to the dark knight', 'boyfriend girlfriend relationship', '12 more']"
70,Customer Survey,7,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm.","[1031, 1188, 1301, 439, 125, 29, 9, 10, 5, 56]",8.5,881,8.3,1365,8.4,4193,8.2,13,8.5,941,8.3,1277,8.1,368,8.4,2410,8.5,9,8.5,807,8.3,1106,8,292,8.3,366,9.5,2,8.5,114,8.2,157,8.5,74,"[""reference to 'schindler's list' 1993""]"
71,Business Trip,5,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City.","[721, 709, 1566, 637, 164, 45, 17, 5, 9, 52]",8.1,815,8,1323,8.1,3925,8,11,8.1,894,8,1204,8,362,8.1,2285,8.2,7,8.2,762,8,1044,7.9,290,8,347,7.5,2,8.1,113,7.9,146,8.3,70,['reference to austin powers']
72,Frame Toby,3,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Pam has issues with the disgusting microwave. Finally, Jim surprises Pam by buying his parents' house.","[1258, 1294, 1184, 399, 123, 29, 14, 6, 6, 57]",8.5,853,8.4,1439,8.5,4370,8.5,13,8.7,1003,8.4,1299,8.1,366,8.5,2470,8.7,9,8.7,858,8.4,1111,8.1,291,8.5,393,7.5,2,8.7,126,8.3,174,8.4,71,"['reference to the shining', 'reference to holly flax', 'reference to david wallace', 'boyfriend girlfriend sex', 'salad']"
73,The Surplus,3,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm.","[1266, 1459, 1055, 335, 91, 31, 8, 6, 5, 74]",8.7,854,8.5,1432,8.7,4330,8.6,14,8.8,982,8.5,1301,8.3,368,8.6,2476,8.8,9,8.8,843,8.6,1129,8.3,294,8.5,367,8,2,8.7,121,8.4,156,8.6,72,"['surplus', 'stepping in shit']"
74,Moroccan Christmas,4,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift.","[884, 917, 1454, 491, 161, 52, 17, 10, 7, 56]",8.3,849,8.1,1343,8.3,4049,8,14,8.3,915,8.2,1236,8.1,365,8.2,2328,8.1,10,8.3,780,8.2,1067,8,290,8.3,365,8.5,2,8.5,117,8.2,155,8.3,73,"['christmas episode', 'christmas', 'christmas party', 'reference to the simpsons']"
75,The Duel,5,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot.","[1233, 1406, 1024, 343, 101, 30, 14, 5, 6, 67]",8.6,854,8.5,1389,8.6,4229,8.6,13,8.8,954,8.5,1263,8.3,371,8.6,2406,8.8,9,8.8,814,8.5,1095,8.3,294,8.5,370,8,2,8.8,120,8.3,154,8.5,75,[]
76,Prince Family Paper,7,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot.","[724, 620, 1545, 729, 247, 76, 28, 18, 14, 64]",7.9,846,7.8,1339,7.9,4065,7.6,12,8,918,7.8,1238,7.7,365,7.9,2340,7.9,8,8,781,7.8,1072,7.7,289,7.9,360,6.5,2,8.1,117,7.7,151,8,73,['reference to hilary swank']
77,Stress Relief,51,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him.","[10382, 1424, 520, 181, 77, 36, 20, 15, 19, 201]",9.6,1989,9.6,3649,9.7,12875,9.8,26,9.8,3008,9.5,3402,9.1,655,9.6,6342,10,15,9.8,2372,9.5,2743,9.1,496,9.7,1433,8.2,7,9.8,529,9.6,606,9.3,152,"['reference to harry potter', 'fire', 'fire drill', 'roast', 'heart attack', '5 more']"
78,Lecture Circuit: Part 1,5,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party.","[714, 717, 1584, 606, 144, 43, 16, 10, 5, 46]",8.2,789,8,1302,8.1,3885,7.6,10,8.1,882,8,1181,8,341,8.1,2236,8.1,6,8.1,754,8,1024,7.9,269,8.1,343,7,2,8.3,110,7.9,144,8.2,69,"['reference to star wars', 'reference to star wars a new hope', 'reference to texas chainsaw massacre']"
79,Lecture Circuit: Part 2,3,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat.","[677, 676, 1544, 649, 156, 50, 21, 6, 7, 49]",8.1,772,7.9,1284,8,3835,7.9,10,8.1,884,7.9,1154,7.9,334,8,2201,8.3,6,8.1,750,7.9,1001,7.8,264,8.1,340,7,2,8.2,116,7.9,139,8.2,68,"['reference to star wars', 'reference to star wars return of the jedi', 'reference to forrest gump', 'reference to spaceballs']"
80,Blood Drive,7,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance.","[643, 508, 1624, 726, 211, 50, 20, 11, 6, 43]",8,809,7.8,1284,7.9,3842,7.6,10,8,877,7.8,1181,7.7,350,7.9,2243,7.9,6,8,747,7.8,1030,7.7,281,7.9,333,8,2,8.1,112,7.7,137,8,67,"['reference to enchanted', 'reference to cinderella', ""valentine's day episode"", 'blood', 'blood donation', '3 more']"
81,Golden Ticket,10,"Michael gets extremely carried away with a new, imaginative idea; placing promotional 'Golden Tickets' - giving the lucky finder 10% off next shipment - in the paper reams, which backfires spectacularly. Placing all five tickets (which do not say 'Limit One Per Customer') in the SAME ream which goes to their biggest client means a 50% deduction. Corporate - not too pleased by this - is looking for someone to blame, and Michael looks to Dwight to take the fall. Meanwhile, Kevin receives three different kinds of romantic advice from Pam, Jim and Andy. The only problem is, all three of them seem to be letting their own past experiences cloud their judgment on the situation.","[1138, 1365, 1130, 329, 108, 29, 15, 6, 5, 60]",8.6,845,8.5,1359,8.6,4185,8.7,12,8.6,948,8.5,1236,8.3,374,8.6,2378,9.2,8,8.7,802,8.5,1070,8.3,296,8.4,370,8.5,2,8.5,123,8.3,150,8.4,76,"['reference to willy wonka', 'golden ticket']"
82,New Boss,3,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party.","[807, 784, 1533, 519, 138, 45, 18, 9, 13, 51]",8.2,818,8.1,1305,8.2,3917,8.1,11,8.3,891,8.1,1199,8,367,8.2,2273,8.4,7,8.3,762,8.1,1042,7.9,284,8.2,350,8,2,8.2,110,8.1,142,8.4,80,"['reference to ace ventura', 'reference to the simpsons', 'reference to homer simpson']"
83,Two Weeks,5,"Michael leaves the company and thinks about starting with his own Paper Company. When David finds out about Michaels plans he gets the security to throw him out of the Office. Before leaving Michael asks everyone to join him but they all decline his offer, and in the end Pam agrees to join him on the condition that she is a Sales Executive. He asks Jim but he declines.","[832, 927, 1447, 436, 134, 29, 14, 9, 7, 51]",8.3,787,8.2,1295,8.3,3886,8.4,11,8.4,894,8.2,1163,8,356,8.3,2233,8.6,7,8.4,765,8.2,1010,7.9,278,8.3,343,7.5,2,8.3,111,8,140,8.6,75,[]
84,Dream Team,6,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.,"[801, 809, 1515, 479, 166, 35, 19, 8, 5, 48]",8.2,792,8,1291,8.2,3885,8.4,10,8.2,902,8.1,1158,7.9,353,8.1,2232,8.6,6,8.2,763,8.1,1009,7.9,275,8.2,350,7.5,2,8.3,119,8,136,8.2,76,"['nbc', 'reference to the michael scott paper company', 'bowling', 'french toast', 'reference to apple', '1 more']"
85,Michael Scott Paper Company,3,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park.","[1255, 1384, 1077, 316, 111, 32, 14, 7, 4, 61]",8.6,841,8.5,1380,8.6,4261,8.9,11,8.7,995,8.5,1255,8.2,350,8.6,2415,8.8,7,8.7,846,8.5,1087,8.1,273,8.5,373,8.5,2,8.6,124,8.3,155,8.6,75,"['nbc', 'reference to the michael scott paper company', 'reference to lady gaga', 'reference to britney spears', 'reference to john denver']"
86,Heavy Competition,4,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy.","[1105, 1330, 1069, 308, 106, 23, 12, 2, 7, 58]",8.6,793,8.5,1348,8.6,4020,8.7,11,8.7,930,8.5,1206,8.2,351,8.5,2307,9.1,7,8.7,798,8.5,1042,8.2,275,8.5,356,8.5,2,8.6,114,8.4,149,8.5,74,"['reference to highlander', 'nbc', 'reference to the michael scott paper company']"
87,Broke,15,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to Michael, and is desperate to buy him out.","[2901, 1513, 580, 194, 54, 18, 12, 4, 3, 155]",9.1,941,9.1,1735,9.2,5434,9.4,12,9.3,1291,9.1,1513,8.8,408,9.2,3001,9.3,7,9.4,1107,9.1,1299,8.7,326,9.1,458,9.5,2,9.3,154,8.9,194,9,79,"['reference to the michael scott paper company', 'van', 'buyout']"
88,Casual Friday,8,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far.","[776, 787, 1505, 532, 149, 34, 14, 7, 6, 48]",8.2,777,8.1,1305,8.2,3858,8.5,12,8.3,887,8.1,1170,8,348,8.1,2221,8.7,8,8.3,752,8.1,1012,7.9,276,8.2,351,6.5,2,8.3,117,8.1,144,8.6,70,"['nbc', 'reference to the michael scott paper company', 'chili']"
89,Cafe Disco,6,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day.","[1568, 1372, 1005, 353, 108, 42, 19, 10, 8, 64]",8.6,869,8.6,1492,8.7,4549,9.2,12,8.8,1050,8.5,1339,8.3,375,8.6,2511,9.4,7,8.8,865,8.5,1140,8.3,290,8.7,451,8.3,3,9,155,8.6,183,8.4,82,"['reference to the shining', 'nbc', 'husband wife relationship', 'coffee', 'reference to the michael scott paper company', '5 more']"
